t x v E
 36.0001 0.0841051 0.0670708 0.0115722
 36.2001 0.0969465 0.0612555 0.0131509
 36.4001 0.108575 0.0549495 0.0148079
 36.6001 0.118898 0.0482247 0.0164624
 36.8001 0.127842 0.041156 0.0180373
 37.0001 0.135343 0.0338201 0.0194615
 37.2001 0.141357 0.0262949 0.0206732
 37.4001 0.145853 0.0186587 0.0216214
 37.6001 0.148818 0.010989 0.0222676
 37.8001 0.150252 0.00336253 0.022587
 38.0001 0.150171 -0.0041462 0.0225685
 38.2001 0.148606 -0.0114652 0.0222152
 38.4001 0.145602 -0.0185259 0.0215432
 38.6001 0.141217 -0.0252635 0.0205806
 38.8001 0.135522 -0.0316178 0.019366
 39.0001 0.128599 -0.0375335 0.0179466
 39.2001 0.120542 -0.0429608 0.0163759
 39.4001 0.111451 -0.0478556 0.0147114
 39.6001 0.101437 -0.05218 0.0130123
 39.8001 0.0906188 -0.0559027 0.0113369
 40.0001 0.0791181 -0.0589986 0.00974051
 40.2001 0.0670624 -0.0614496 0.00827342
 40.4001 0.0545821 -0.0632442 0.00697902
 40.6001 0.0418089 -0.0643776 0.00589245
 40.8001 0.028875 -0.0648517 0.00503951
 41.0001 0.0159116 -0.0646749 0.00443602
 41.2001 0.00304753 -0.0638618 0.00408761
 41.4001 -0.00959199 -0.062433 0.00398989
 41.6001 -0.0218864 -0.0604149 0.00412898
 41.8001 -0.0337208 -0.0578392 0.00448246
 42.0001 -0.0449872 -0.0547422 0.00502056
 42.2001 -0.0555856 -0.0511651 0.00570763
 42.4001 -0.0654242 -0.0471526 0.0065037
 42.6001 -0.0744209 -0.0427532 0.0073663
 42.8001 -0.0825031 -0.0380179 0.00825213
 43.0001 -0.0896092 -0.0330003 0.00911883
 43.2001 -0.0956881 -0.0277556 0.00992659
 43.4001 -0.1007 -0.0223402 0.0106396
 43.6001 -0.104617 -0.0168111 0.0112272
 43.8001 -0.107421 -0.0112251 0.0116652
 44.0001 -0.109107 -0.00563864 0.011936
 44.2001 -0.10968 -0.000107048 0.0120297
 44.4001 -0.109157 0.00531607 0.0119434
 44.6001 -0.107564 0.0105792 0.0116819
 44.8001 -0.104939 0.0156335 0.0112566
 45.0001 -0.101328 0.020433 0.0106848
 45.2001 -0.0967856 0.0249354 0.00998922
 45.4001 -0.0913759 0.0291019 0.00919648
 45.6001 -0.0851695 0.0328981 0.00833613
 45.8001 -0.0782434 0.0362936 0.00743926
 46.0001 -0.0706805 0.0392629 0.00653731
 46.2001 -0.0625681 0.041785 0.00566075
 46.4001 -0.0539974 0.0438438 0.004838
 46.6001 -0.0450623 0.0454281 0.00409432
 46.8001 -0.0358583 0.0465316 0.003451
 47.0001 -0.0264818 0.047153 0.00292469
 47.2001 -0.017029 0.0472956 0.00252686
 47.4001 -0.00759498 0.0469675 0.00226363
 47.6001 0.0017274 0.0461813 0.0021357
 47.8001 0.0108481 0.0449538 0.00213853
 48.0001 0.0196809 0.0433059 0.00226274
 48.2001 0.0281441 0.0412623 0.00249467
 48.4001 0.0361613 0.0388509 0.00281703
 48.6001 0.043662 0.036103 0.00320979
 48.8001 0.0505823 0.0330523 0.00365102
 49.0001 0.0568651 0.0297351 0.00411782
 49.2001 0.0624611 0.0261894 0.00458727
 49.4001 0.0673283 0.0224548 0.00503732
 49.6001 0.0714331 0.0185721 0.00544761
 49.8001 0.07475 0.0145825 0.00580021
 50.0001 0.0772617 0.0105276 0.00608021
 50.2001 0.0789595 0.00644894 0.00627618
 50.4001 0.0798424 0.00238721 0.00638052
 50.6001 0.0799181 -0.00161771 0.00638952
 50.8001 0.0792017 -0.00552732 0.00630346
 51.0001 0.077716 -0.00930484 0.00612636
 51.2001 0.0754909 -0.0129155 0.00586569
 51.4001 0.0725631 -0.0163269 0.00553197
 51.6001 0.0689754 -0.0195093 0.00513822
 51.8001 0.0647765 -0.0224356 0.00469935
 52.0001 0.0600199 -0.0250821 0.00423149
 52.2001 0.0547637 -0.027428 0.00375136
 52.4001 0.0490699 -0.0294561 0.00327552
 52.6001 0.0430034 -0.0311527 0.00281978
 52.8001 0.0366316 -0.0325075 0.00239861
 53.0001 0.0300236 -0.033514 0.0020246
 53.2001 0.0232495 -0.0341689 0.00170805
 53.4001 0.0163794 -0.0344729 0.00145667
 53.6001 0.00948345 -0.0344298 0.00127535
 53.8001 0.00263018 -0.034047 0.00116612
 54.0001 -0.0041134 -0.033335 0.00112814
 54.2001 -0.0106828 -0.0323073 0.00115788
 54.4001 -0.0170164 -0.0309804 0.00124934
 54.6001 -0.0230562 -0.0293732 0.00139438
 54.8001 -0.0287484 -0.0275073 0.00158312
 55.0001 -0.0340435 -0.0254063 0.00180444
 55.2001 -0.0388969 -0.0230955 0.00204637
 55.4001 -0.0432695 -0.020602 0.00229669
 55.6001 -0.0471274 -0.0179541 0.00254334
 55.8001 -0.0504428 -0.015181 0.00277494
 56.0001 -0.0531935 -0.0123126 0.00298115
 56.2001 -0.0553635 -0.00937927 0.00315309
 56.4001 -0.0569429 -0.0064112 0.00328359
 56.6001 -0.0579277 -0.00343848 0.00336744
 56.8001 -0.0583199 -0.000490611 0.00340145
 57.0001 -0.0581275 0.00240374 0.00338458
 57.2001 -0.0573638 0.005217 0.00331783
 57.4001 -0.0560478 0.00792295 0.00320413
 57.6001 -0.0542035 0.0104969 0.0030482
 57.8001 -0.0518594 0.0129161 0.00285622
 58.0001 -0.0490487 0.0151596 0.00263559
 58.2001 -0.0458085 0.0172087 0.00239456
 58.4002 -0.0421793 0.019047 0.00214188
 58.6002 -0.0382047 0.0206605 0.00188646
 58.8002 -0.0339309 0.0220377 0.00163696
 59.0002 -0.029406 0.0231696 0.00140154
 59.2002 -0.0246798 0.0240498 0.00118749
 59.4002 -0.0198031 0.0246747 0.00100101
 59.6002 -0.0148271 0.0250432 0.000847003
 59.8002 -0.00980285 0.0251566 0.000728951
 60.0002 -0.00478116 0.0250189 0.000648806
 60.2002 0.000188392 0.0246365 0.000606991
 60.4002 0.00505768 0.0240179 0.000602439
 60.6002 0.00978051 0.0231739 0.00063269
 60.8002 0.0143131 0.0221175 0.000694046
 61.0002 0.0186143 0.0208631 0.000781761
 61.2002 0.0226462 0.0194272 0.000890267
 61.4002 0.0263743 0.0178276 0.00101342
 61.6002 0.0297676 0.0160832 0.00114478
 61.8002 0.0327992 0.0142143 0.00127784
 62.0002 0.0354464 0.0122418 0.00140631
 62.2002 0.0376905 0.0101873 0.00152436
 62.4002 0.0395173 0.00807266 0.00162679
 62.6002 0.040917 0.00592004 0.00170925
 62.8002 0.0418843 0.00375148 0.00176837
 63.0002 0.042418 0.00158874 0.00180181
 63.2002 0.0425216 -0.000546881 0.00180838
 63.4002 0.0422024 -0.00263481 0.00178799
 63.6002 0.0414722 -0.00465532 0.00174161
 63.8002 0.0403461 -0.00658978 0.00167123
 64.0002 0.0388431 -0.00842074 0.0015797
 64.2002 0.0369857 -0.0101322 0.00147061
 64.4002 0.0347992 -0.0117094 0.0013481
 64.6002 0.0323118 -0.0131397 0.0012167
 64.8002 0.0295539 -0.0144116 0.00108113
 65.0002 0.0265583 -0.0155157 0.000946084
 65.2001 0.0233593 -0.0164446 0.000816082
 65.4001 0.0199926 -0.0171923 0.000695279
 65.6001 0.0164948 -0.0177552 0.000587323
 65.8001 0.012903 -0.0181313 0.00049523
 66.0001 0.00925471 -0.0183205 0.000421291
