t x v
 77 -0.0299625 -0.99938
 77.2 -0.227909 -0.973507
 77.4 -0.416769 -0.908824
 77.6 -0.589015 -0.80791
 77.8 -0.737778 -0.674788
 78 -0.85713 -0.514765
 78.2 -0.942311 -0.334221
 78.3999 -0.989926 -0.140353
 78.5999 -0.998077 0.05911
 78.7999 -0.966439 0.256216
 78.9999 -0.896273 0.443108
 79.1999 -0.790376 0.612335
 79.3999 -0.652971 0.757151
 79.5999 -0.489534 0.871782
 79.7999 -0.306582 0.951658
 79.9999 -0.111408 0.993596
 80.1999 0.0882071 0.995924
 80.3999 0.284306 0.958548
 80.5999 0.46907 0.882959
 80.7999 0.635134 0.77217
 80.9999 0.775878 0.630598
 81.1999 0.885691 0.463887
 81.3999 0.960195 0.278683
 81.5999 0.996421 0.0823687
 81.7999 0.992922 -0.117229
 81.9999 0.949841 -0.312153
 82.1999 0.868893 -0.494632
 82.3999 0.753306 -0.657392
 82.5999 0.607688 -0.793945
 82.7999 0.437845 -0.898847
 82.9999 0.250546 -0.967915
 83.1999 0.0532594 -0.998396
 83.3999 -0.14615 -0.989076
 83.5999 -0.339733 -0.940325
 83.7999 -0.519773 -0.854087
 83.9999 -0.679091 -0.733801
 84.1999 -0.811336 -0.584261
 84.3999 -0.911236 -0.41143
 84.5999 -0.97481 -0.222196
 84.7999 -0.999522 -0.0241048
 84.9998 -0.984387 0.174947
 85.1998 -0.930008 0.367025
 85.3998 -0.838554 0.54447
 85.5998 -0.713671 0.70021
 85.7998 -0.560337 0.828035
 85.9998 -0.384664 0.92285
 86.1998 -0.193657 0.980875
 86.3998 0.00507006 0.999796
 86.5998 0.203595 0.978859
 86.7998 0.394003 0.9189
 86.9998 0.568704 0.822308
 87.1998 0.720733 0.692934
 87.3998 0.84403 0.535936
 87.5998 0.933678 0.357572
 87.7998 0.986104 0.164954
 87.9998 0.999219 -0.0342404
 88.1998 0.972498 -0.232069
 88.3998 0.907009 -0.420646
 88.5998 0.805361 -0.592454
 88.7998 0.671606 -0.740643
 88.9998 0.511078 -0.859305
 89.1998 0.330175 -0.94371
 89.3998 0.13611 -0.990494
 89.5998 -0.0633813 -0.997791
 89.7998 -0.260346 -0.96531
 89.9998 -0.446931 -0.894346
 90.1998 -0.615699 -0.787728
 90.3998 -0.759921 -0.649707
 90.5998 -0.873849 -0.485785
 90.7998 -0.952939 -0.302497
 90.9998 -0.99404 -0.10715
 91.1998 -0.995513 0.0924681
 91.3997 -0.957299 0.2884
 91.5997 -0.880921 0.472835
 91.7997 -0.769425 0.638419
 91.9997 -0.627255 0.778552
 92.1997 -0.460079 0.887648
 92.3997 -0.274562 0.961357
 92.5997 -0.0780998 0.99674
 92.7997 0.121476 0.992387
 92.9997 0.316209 0.948473
 93.1997 0.498336 0.866746
 93.3997 0.660596 0.750466
 93.5997 0.796521 0.604269
 93.7997 0.900691 0.433982
 93.9997 0.968955 0.246393
 94.1997 0.998591 0.0489829
 94.3997 0.988417 -0.15038
 94.5997 0.938839 -0.343748
 94.7997 0.851833 -0.523412
 94.9997 0.730869 -0.68221
 95.1997 0.580768 -0.81381
 95.3997 0.407514 -0.912968
 95.5997 0.218015 -0.975729
 95.7997 0.0198246 -0.999591
 95.9997 -0.179156 -0.983605
 96.1997 -0.370994 -0.928406
 96.3997 -0.548043 -0.836195
 96.5997 -0.703242 -0.710649
 96.7997 -0.830407 -0.556773
 96.9997 -0.924466 -0.380701
 97.1997 -0.981671 -0.189451
 97.3997 -0.999741 0.00935046
 97.5997 -0.977955 0.207779
 97.7997 -0.917182 0.397925
 97.9996 -0.819845 0.572206
 98.1996 -0.689825 0.723676
 98.3996 -0.532304 0.846296
 98.5996 -0.353563 0.935178
 98.7996 -0.160726 0.986778
 98.9996 0.0385174 0.999039
 99.1996 0.236225 0.971472
 99.3996 0.424516 0.905178
 99.5996 0.595882 0.802797
 99.7996 0.743493 0.668413
 99.9996 0.861465 0.507382
 100.2 0.945093 0.326124
 100.4 0.991044 0.131865
 100.6 0.997486 -0.0676512
 100.8 0.964163 -0.26447
 101 0.892402 -0.450745
 101.2 0.785066 -0.619051
 101.4 0.646432 -0.762677
 101.6 0.482028 -0.875899
 101.8 0.298407 -0.954203
 102 0.102891 -0.994466
 102.2 -0.0967273 -0.995084
 102.4 -0.292489 -0.956032
 102.6 -0.476591 -0.878867
 102.8 -0.641692 -0.766666
 103 -0.781212 -0.623901
 103.2 -0.889588 -0.456263
 103.4 -0.9625 -0.270437
 103.6 -0.997041 -0.0738297
 103.8 -0.991834 0.125721
 104 -0.947087 0.320259
 104.2 -0.864584 0.50203
 104.4 -0.747613 0.663787
 104.6 -0.600838 0.799081
 104.8 -0.430111 0.902519
 105 -0.242237 0.969978
 105.2 -0.0447058 0.998767
 105.4 0.154607 0.98774
 105.6 0.347756 0.937336
 105.8 0.527042 0.849564
 106 0.685316 0.727924
 106.2 0.81627 0.577264
 106.4 0.914682 0.403592
 106.6 0.976629 0.21383
 106.8 0.999643 0.0155441
 107 0.982805 -0.183361
 107.2 0.926786 -0.374957
 107.4 0.833821 -0.551604
 107.6 0.707615 -0.706262
 107.799 0.553199 -0.832763
 107.999 0.37673 -0.926065
 108.199 0.185242 -0.982449
 108.399 -0.0136306 -0.999667
 108.599 -0.211959 -0.977033
 108.799 -0.401838 -0.915448
 108.999 -0.575697 -0.817368
 109.199 -0.726605 -0.686703
 109.399 -0.848547 -0.528663
 109.599 -0.93666 -0.349547
 109.799 -0.987433 -0.156496
 109.999 -0.99884 0.0427935
 110.199 -0.970428 0.240377
 110.399 -0.90333 0.428377
 110.599 -0.800219 0.5993
 110.799 -0.665207 0.74633
 110.999 -0.503676 0.863608
 111.199 -0.322066 0.946457
 111.399 -0.127617 0.991575
 111.599 0.0719198 0.997163
 111.799 0.268589 0.962998
 111.999 0.454551 0.890442
