t x v E
 61.4002 0.155052 0.0662552 0.0284309
 61.6002 0.168303 0.0571775 0.0315952
 61.8002 0.179739 0.0476188 0.0345735
 62.0002 0.189262 0.0376795 0.03724
 62.2002 0.196798 0.0274628 0.0394837
 62.4002 0.202291 0.0170736 0.041213
 62.6002 0.205705 0.00661759 0.0423585
 62.8002 0.207029 -0.00380003 0.0428754
 63.0002 0.206269 -0.0140755 0.042745
 63.2002 0.203454 -0.0241074 0.0419746
 63.4002 0.198632 -0.033798 0.0405971
 63.6002 0.191873 -0.0430536 0.0386688
 63.8002 0.183262 -0.0517862 0.0362668
 64.0002 0.172905 -0.0599136 0.0334857
 64.2002 0.160922 -0.0673605 0.0304334
 64.4002 0.14745 -0.0740594 0.0272263
 64.6002 0.132638 -0.0799507 0.023985
 64.8002 0.116648 -0.0849836 0.020829
 65.0002 0.0996512 -0.0891163 0.0178721
 65.2001 0.081828 -0.0923166 0.0152182
 65.4001 0.0633647 -0.0945617 0.012957
 65.6001 0.0444523 -0.0958387 0.0111611
 65.8001 0.0252846 -0.0961445 0.00988308
 66.0001 0.00605569 -0.0954858 0.00915422
 66.2001 -0.0130415 -0.0938789 0.00898333
 66.4001 -0.0318173 -0.0913493 0.00935702
 66.6001 -0.0500871 -0.0879314 0.0102406
 66.8001 -0.0676734 -0.0836684 0.0115801
 67.0001 -0.0844071 -0.0786114 0.0133043
 67.2001 -0.100129 -0.0728188 0.0153285
 67.4001 -0.114693 -0.066356 0.0175576
 67.6001 -0.127964 -0.0592942 0.0198907
 67.8001 -0.139823 -0.0517101 0.0222244
 68.0001 -0.150165 -0.0436847 0.0244579
 68.2001 -0.158902 -0.0353028 0.0264962
 68.4001 -0.165963 -0.0266516 0.0282539
 68.6001 -0.171293 -0.0178204 0.0296589
 68.8001 -0.174857 -0.00889939 0.0306542
 69.0001 -0.176637 2.14512e-05 0.0312006
 69.2001 -0.176633 0.00885287 0.0312775
 69.4001 -0.174862 0.0175074 0.0308833
 69.6001 -0.171361 0.0259004 0.0300353
 69.8001 -0.166181 0.0339504 0.0287686
 70.0001 -0.15939 0.0415804 0.0271342
 70.2001 -0.151074 0.0487184 0.0251969
 70.4001 -0.141331 0.0552977 0.0230322
 70.6001 -0.130271 0.0612583 0.0207231
 70.8001 -0.118019 0.0665467 0.0183571
 71.0001 -0.10471 0.0711167 0.0160218
 71.2001 -0.0904868 0.0749299 0.0138023
 71.4001 -0.0755008 0.0779556 0.0117775
 71.6001 -0.0599097 0.0801715 0.0100166
 71.8 -0.0438754 0.0815636 0.00857767
 72 -0.0275627 0.0821261 0.0075044
 72.2 -0.0111374 0.0818617 0.00682538
 72.4 0.0052349 0.0807813 0.00655303
 72.6 0.0213912 0.078904 0.00668342
 72.8 0.037172 0.0762563 0.00719678
 73 0.0524232 0.0728726 0.00805861
 73.2 0.0669978 0.068794 0.00922131
 73.4 0.0807566 0.0640682 0.0106264
 73.6 0.0935702 0.058749 0.0122068
 73.8 0.10532 0.0528955 0.0138902
 74 0.115899 0.0465716 0.0156015
 74.2 0.125213 0.0398452 0.017266
 74.4 0.133182 0.0327877 0.0188126
 74.6 0.13974 0.0254728 0.0201761
 74.8 0.144835 0.0179763 0.0213002
 75 0.14843 0.0103751 0.0221391
 75.2 0.150505 0.00274608 0.0226593
 75.4 0.151054 -0.00483409 0.0228407
 75.6 0.150087 -0.0122901 0.0226772
 75.8 0.147629 -0.0195487 0.0221765
 76 0.143719 -0.0265392 0.0213596
 76.2 0.138412 -0.0331943 0.0202597
 76.4 0.131773 -0.039451 0.0189205
 76.6 0.123883 -0.0452507 0.0173945
 76.8 0.114832 -0.0505398 0.0157408
 77 0.104724 -0.0552706 0.0140221
 77.2 0.0936704 -0.0594014 0.0123027
 77.4 0.0817901 -0.0628969 0.0106456
 77.6 0.0692107 -0.0657285 0.00911035
 77.8 0.056065 -0.0678744 0.00775022
 78 0.0424901 -0.0693202 0.0066107
 78.2 0.0286261 -0.0700583 0.00572762
 78.3999 0.0146144 -0.0700884 0.00512597
 78.5999 0.000596732 -0.0694174 0.00481913
 78.7999 -0.0132867 -0.0680589 0.00480855
 78.9999 -0.0268985 -0.0660334 0.00508394
 79.1999 -0.0401052 -0.0633678 0.0056239
 79.3999 -0.0527787 -0.0600952 0.00639702
 79.5999 -0.0647978 -0.0562543 0.0073633
 79.7999 -0.0760486 -0.0518893 0.0084759
 79.9999 -0.0864265 -0.0470491 0.00968316
 80.1999 -0.0958363 -0.0417868 0.0109307
 80.3999 -0.104194 -0.0361593 0.0121638
 80.5999 -0.111426 -0.0302264 0.0133293
 80.7999 -0.117471 -0.0240506 0.0143778
 80.9999 -0.122281 -0.017696 0.0152658
 81.1999 -0.12582 -0.0112281 0.0159568
 81.3999 -0.128066 -0.00471249 0.016423
 81.5999 -0.129008 0.00178504 0.0166463
 81.7999 -0.128651 0.00819976 0.0166184
 81.9999 -0.127011 0.0144683 0.0163412
 82.1999 -0.124118 0.0205295 0.0158267
 82.3999 -0.120012 0.0263248 0.0150958
 82.5999 -0.114747 0.0317989 0.014178
 82.7999 -0.108387 0.0369003 0.0131094
 82.9999 -0.101007 0.0415816 0.0119314
 83.1999 -0.0926906 0.0458003 0.0106892
 83.3999 -0.0835306 0.0495189 0.00942947
 83.5999 -0.0736268 0.052705 0.00819872
 83.7999 -0.0630858 0.0553322 0.00704147
 83.9999 -0.0520193 0.0573799 0.00599846
 84.1999 -0.0405434 0.0588333 0.00510512
 84.3999 -0.0287767 0.0596838 0.00439025
 84.5999 -0.01684 0.0599289 0.00387506
 84.7999 -0.00485417 0.0595723 0.00357243
 84.9998 0.0070603 0.0586236 0.00348657
 85.1998 0.018785 0.0570981 0.00361307
 85.3998 0.0302046 0.0550169 0.00393918
 85.5998 0.041208 0.0524063 0.00444453
 85.7998 0.0516893 0.0492978 0.00510206
 85.9998 0.0615489 0.0457274 0.00587926
 86.1998 0.0706943 0.0417354 0.00673953
 86.3998 0.0790414 0.037366 0.00764376
 86.5998 0.0865146 0.0326666 0.00855188
 86.7998 0.0930479 0.0276875 0.00942452
 86.9998 0.0985854 0.0224814 0.0102245
 87.1998 0.103082 0.0171025 0.0109183
 87.3998 0.106502 0.0116063 0.0114774
 87.5998 0.108823 0.0060491 0.0118791
 87.7998 0.110033 0.000486945 0.0121076
 87.9998 0.110131 -0.00502446 0.012154
 88.1998 0.109126 -0.0104305 0.0120172
 88.3998 0.10704 -0.0156782 0.0117033
 88.5998 0.103904 -0.0207166 0.0112252
 88.7998 0.0997607 -0.0254975 0.0106023
 88.9998 0.0946612 -0.0299756 0.00985928
 89.1998 0.0886661 -0.0341091 0.00902511
 89.3998 0.0818443 -0.0378602 0.00813188
 89.5998 0.0742722 -0.0411952 0.00721341
 89.7998 0.0660332 -0.0440849 0.00630387
 89.9998 0.0572162 -0.0465049 0.0054364
 90.1998 0.0479152 -0.0484356 0.00464188
 90.3998 0.0382281 -0.0498627 0.00394767
 90.5998 0.0282556 -0.0507768 0.00337666
 90.7998 0.0181002 -0.0511741 0.0029464
 90.9998 0.00786539 -0.0510556 0.00266854
 91.1998 -0.00234573 -0.0504278 0.00254846
 91.3997 -0.0124313 -0.0493019 0.00258522
 91.5997 -0.0222917 -0.0476943 0.00277167
 91.7997 -0.0318305 -0.0456258 0.0030949
 91.9997 -0.0409557 -0.0431218 0.00353686
 92.1997 -0.0495801 -0.0402116 0.00407515
 92.3997 -0.0576224 -0.0369283 0.00468404
 92.5997 -0.065008 -0.0333087 0.00533551
 92.7997 -0.0716698 -0.0293921 0.00600045
 92.9997 -0.0775482 -0.0252208 0.00664981
 93.1997 -0.0825924 -0.0208389 0.00725576
 93.3997 -0.0867601 -0.0162925 0.00779277
 93.5997 -0.0900186 -0.0116287 0.00823858
 93.7997 -0.0923444 -0.00689517 0.00857503
