t x v
 51.8001 0.0624711 -0.0234699
 52.0001 0.0575117 -0.0259801
 52.2001 0.0520801 -0.0281826
 52.4001 0.0462395 -0.0300617
 52.6001 0.0400561 -0.031605
 52.8001 0.033598 -0.032804
 53.0001 0.0269348 -0.0336535
 53.2001 0.0201367 -0.0341522
 53.4001 0.0132739 -0.034302
 53.6001 0.00641576 -0.0341084
 53.8001 -0.000369778 -0.0335801
 54.0001 -0.00701678 -0.032729
 54.2001 -0.013462 -0.03157
 54.4001 -0.0196456 -0.0301207
 54.6001 -0.0255112 -0.0284012
 54.8001 -0.0310071 -0.0264341
 55.0001 -0.036086 -0.0242436
 55.2001 -0.0407058 -0.0218561
 55.4001 -0.0448298 -0.0192992
 55.6001 -0.0484269 -0.0166015
 55.8001 -0.0514719 -0.0137926
 56.0001 -0.0539455 -0.0109027
 56.2001 -0.0558345 -0.00796202
 56.4001 -0.0571318 -0.00500076
 56.6001 -0.0578363 -0.00204871
 56.8001 -0.0579527 0.000864989
 57.0001 -0.0574917 0.0037122
 57.2001 -0.0564692 0.00646597
 57.4001 -0.0549066 0.00910084
 57.6001 -0.0528301 0.011593
 57.8001 -0.0502705 0.0139206
 58.0001 -0.0472629 0.0160638
 58.2001 -0.043846 0.0180049
 58.4002 -0.0400618 0.0197288
 58.6002 -0.0359552 0.0212225
 58.8002 -0.0315733 0.022476
 59.0002 -0.0269652 0.0234815
 59.2002 -0.0221811 0.0242339
 59.4002 -0.0172718 0.0247309
 59.6002 -0.0122888 0.0249725
 59.8002 -0.00728277 0.0249615
 60.0002 -0.00230398 0.0247029
 60.2002 0.00259872 0.0242043
 60.4002 0.00737818 0.0234754
 60.6002 0.0119894 0.022528
 60.8002 0.01639 0.0213759
 61.0002 0.0205405 0.0200344
 61.2002 0.0244046 0.0185208
 61.4002 0.0279497 0.0168535
 61.6002 0.031147 0.015052
 61.8002 0.0339715 0.0131369
 62.0002 0.0364028 0.0111295
 62.2002 0.0384244 0.0090516
 62.4002 0.0400245 0.00692511
 62.6002 0.0411955 0.00477215
 62.8002 0.0419345 0.00261462
 63.0002 0.0422425 0.000474026
 63.2002 0.0421251 -0.00162873
 63.4002 0.041592 -0.00367353
 63.6002 0.0406567 -0.00564123
 63.8002 0.0393364 -0.00751384
 64.0002 0.037652 -0.00927465
 64.2002 0.0356274 -0.0109084
 64.4002 0.0332894 -0.0124014
 64.6002 0.0306674 -0.0137417
 64.8002 0.0277932 -0.014919
 65.0002 0.0247003 -0.0159247
 65.2001 0.0214237 -0.0167525
 65.4001 0.0179996 -0.0173975
 65.6001 0.0144649 -0.017857
 65.8001 0.0108569 -0.0181302
 66.0001 0.00721286 -0.0182179
 66.2001 0.00356965 -0.0181232
 66.4001 -3.65928e-05 -0.0178504
 66.6001 -0.00357079 -0.0174059
 66.8001 -0.00699931 -0.0167975
 67.0001 -0.0102902 -0.0160345
 67.2001 -0.0134136 -0.0151274
 67.4001 -0.0163418 -0.0140883
 67.6001 -0.0190495 -0.01293
 67.8001 -0.0215144 -0.0116664
 68.0001 -0.0237168 -0.0103121
 68.2001 -0.02564 -0.00888237
 68.4001 -0.0272705 -0.0073929
 68.6001 -0.0285979 -0.00585967
 68.8001 -0.0296152 -0.00429875
 69.0001 -0.0303183 -0.00272619
 69.2001 -0.0307064 -0.00115783
 69.4001 -0.0307822 0.000390855
 69.6001 -0.0305509 0.00190488
 69.8001 -0.0300209 0.00336991
 70.0001 -0.0292036 0.00477237
 70.2001 -0.0281127 0.00609959
 70.4001 -0.0267644 0.0073399
 70.6001 -0.0251772 0.00848271
 70.8001 -0.0233718 0.00951861
 71.0001 -0.0213702 0.0104394
 71.2001 -0.0191964 0.0112384
 71.4001 -0.0168752 0.0119099
 71.6001 -0.0144327 0.0124498
 71.8 -0.0118954 0.0128555
 72 -0.00929057 0.0131255
 72.2 -0.00664526 0.0132599
 72.4 -0.00398658 0.01326
 72.6 -0.00134117 0.0131285
 72.8 0.00126497 0.0128693
 73 0.00380676 0.0124875
 73.2 0.00626025 0.0119894
 73.4 0.00860285 0.0113822
 73.6 0.0108135 0.010674
 73.8 0.0128729 0.00987405
 74 0.0147636 0.00899196
 74.2 0.0164702 0.00803817
 74.4 0.0179794 0.00702355
 74.6 0.0192801 0.00595938
 74.8 0.0203637 0.00485722
 75 0.0212236 0.00372876
 75.2 0.0218558 0.00258572
 75.4 0.0222585 0.00143973
 75.6 0.0224323 0.000302229
 75.8 0.0223799 -0.000815663
 76 0.0221065 -0.00190324
 76.2 0.0216192 -0.00295031
 76.4 0.0209269 -0.0039473
 76.6 0.0200407 -0.00488528
 76.8 0.0189732 -0.00575614
 77 0.0177386 -0.00655257
 77.2 0.0163525 -0.00726813
 77.4 0.0148317 -0.00789733
 77.6 0.0131939 -0.00843564
 77.8 0.0114576 -0.00887953
 78 0.00964219 -0.00922647
 78.2 0.00776714 -0.00947494
 78.3999 0.00585226 -0.00962444
 78.5999 0.00391736 -0.00967544
 78.7999 0.00198204 -0.0096294
 78.9999 6.55077e-05 -0.0094887
 79.1999 -0.00181358 -0.00925662
 79.3999 -0.00363733 -0.00893729
 79.5999 -0.00538872 -0.00853559
 79.7999 -0.00705183 -0.00805717
 79.9999 -0.00861189 -0.00750829
 80.1999 -0.0100555 -0.00689579
 80.3999 -0.0113706 -0.00622703
 80.5999 -0.0125467 -0.00550976
 80.7999 -0.0135749 -0.00475206
 80.9999 -0.0144479 -0.00396225
 81.1999 -0.0151602 -0.00314882
 81.3999 -0.0157078 -0.0023203
 81.5999 -0.0160887 -0.00148522
 81.7999 -0.0163023 -0.000651991
 81.9999 -0.0163499 0.000171145
 82.1999 -0.0162343 0.000976222
 82.3999 -0.0159598 0.00175561
 82.5999 -0.0155324 0.00250208
 82.7999 -0.0149593 0.00320888
 82.9999 -0.0142492 0.00386979
