t x v
 56.8001 0.858106 -0.619623
 57.0001 0.71702 -0.778851
 57.2001 0.546909 -0.906678
 57.4001 0.354635 -0.997927
 57.6001 0.147957 -1.0489
 57.8001 -0.0647811 -1.05751
 58.0001 -0.274987 -1.0234
 58.2001 -0.474168 -0.947937
 58.4002 -0.654272 -0.834144
 58.6002 -0.808015 -0.686607
 58.8002 -0.929176 -0.511272
 59.0002 -1.01285 -0.315211
 59.2002 -1.05563 -0.106337
 59.4002 -1.05579 0.106916
 59.6002 -1.01329 0.315935
 59.8002 -0.929836 0.512274
 60.0002 -0.808784 0.687996
 60.2002 -0.655009 0.835992
 60.4002 -0.474711 0.950274
 60.6002 -0.275162 1.02621
 60.8002 -0.0644161 1.06072
 61.0002 0.149016 1.05239
 61.2002 0.356513 1.00154
 61.4002 0.549691 0.910204
 61.6002 0.720737 0.782062
 61.8002 0.862735 0.622273
 62.0002 0.969935 0.43728
 62.2002 1.03799 0.234548
 62.4002 1.06414 0.0222583
 62.6002 1.04731 -0.191015
 62.8002 0.988162 -0.396657
 63.0002 0.889067 -0.586356
 63.2002 0.754014 -0.752443
 63.4002 0.588446 -0.888197
 63.6002 0.399037 -0.988122
 63.8002 0.193432 -1.04817
 64.0002 -0.0200698 -1.06589
 64.2002 -0.232846 -1.04056
 64.4002 -0.436301 -0.973178
 64.6002 -0.622211 -0.866454
 64.8002 -0.783057 -0.724683
 65.0002 -0.912333 -0.553578
 65.2001 -1.0048 -0.36004
 65.4001 -1.05671 -0.151878
 65.6001 -1.06595 0.0625018
 65.8001 -1.03214 0.274443
 66.0001 -0.956604 0.475381
 66.2001 -0.842396 0.657194
 66.4001 -0.694109 0.812529
 66.6001 -0.517721 0.935101
 66.8001 -0.320346 1.01994
 67.0001 -0.109951 1.06361
 67.2001 0.104971 1.06433
 67.4001 0.315738 1.02205
 67.6001 0.513833 0.938462
 67.8001 0.691249 0.816926
 68.0001 0.840809 0.662338
 68.2001 0.95646 0.480929
 68.4001 1.03352 0.280019
 68.6001 1.06885 0.0677148
 68.8001 1.06102 -0.147409
 69.0001 1.01031 -0.356665
 69.2001 0.918775 -0.551594
 69.4001 0.79008 -0.724317
 69.6001 0.629415 -0.867847
 69.8001 0.443258 -0.976373
 70.0001 0.239118 -1.0455
 70.2001 0.0252361 -1.07241
 70.4001 -0.189751 -1.05601
 70.6001 -0.397158 -0.996939
 70.8001 -0.588602 -0.897569
 71.0001 -0.756344 -0.761897
 71.2001 -0.893597 -0.59539
 71.4001 -0.994803 -0.404763
 71.6001 -1.05586 -0.197707
 71.8 -1.07428 0.0174186
 72 -1.04931 0.231927
 72.2 -0.981943 0.437151
 72.4 -0.874874 0.624797
 72.6 -0.732417 0.787276
 72.8 -0.560313 0.918014
 73 -0.365504 1.01172
 73.2 -0.155851 1.06458
 73.4 0.0601825 1.07446
 73.6 0.273871 1.04094
 73.8 0.476581 0.965342
 74 0.660118 0.850719
 74.2 0.817059 0.701681
 74.4 0.941054 0.524236
 74.6 1.02708 0.32554
 74.8 1.07165 0.113614
 75 1.07294 -0.102988
 75.2 1.03088 -0.315516
 75.4 0.947159 -0.515381
 75.6 0.82514 -0.694506
 75.8 0.669736 -0.845644
 76 0.487213 -0.962678
 76.2 0.284933 -1.04087
 76.4 0.0710607 -1.07704
 76.6 -0.145768 -1.06971
 76.8 -0.356794 -1.01916
 77 -0.55349 -0.927418
 77.2 -0.727904 -0.798171
 77.4 -0.87298 -0.636627
 77.6 -0.982846 -0.449299
 77.8 -1.05305 -0.243744
 78 -1.08074 -0.028259
 78.2 -1.06477 0.188453
 78.3999 -1.00579 0.397639
 78.5999 -0.906144 0.590844
 78.7999 -0.769852 0.760256
 78.9999 -0.602404 0.899021
 79.1999 -0.410552 1.00152
 79.3999 -0.202036 1.0636
 79.5999 0.0147246 1.08274
 79.7999 0.230977 1.05814
 79.9999 0.437985 0.990778
 80.1999 0.627381 0.883366
 80.3999 0.791507 0.740222
 80.5999 0.923721 0.567116
 80.7999 1.01867 0.37103
 80.9999 1.0725 0.159875
 81.1999 1.08303 -0.0578226
 81.3999 1.0498 -0.273272
 81.5999 0.974152 -0.477767
 81.7999 0.859116 -0.663042
 81.9999 0.709325 -0.821604
 82.1999 0.530818 -0.947037
 82.3999 0.330794 -1.03426
 82.5999 0.117326 -1.07973
 82.7999 -0.100967 -1.0816
 82.9999 -0.315269 -1.03978
 83.1999 -0.516919 -0.955929
 83.3999 -0.697766 -0.833427
 83.5999 -0.850496 -0.677205
 83.7999 -0.968927 -0.493562
 83.9999 -1.04826 -0.289905
 84.1999 -1.08528 -0.0744545
 84.3999 -1.07846 0.14409
 84.5999 -1.02807 0.356901
 84.7999 -0.936133 0.555378
 84.9998 -0.806335 0.731497
 85.1998 -0.643909 0.878134
 85.3998 -0.455404 0.989353
 85.5998 -0.248425 1.06065
 85.7998 -0.0313276 1.08912
 85.9998 0.187123 1.0736
 86.1998 0.398101 1.01471
 86.3998 0.59308 0.914791
 86.5998 0.764177 0.77788
 86.7998 0.904469 0.609487
 86.9998 1.00828 0.416403
 87.1998 1.07139 0.20642
 87.3998 1.09125 -0.0119871
 87.5998 1.06703 -0.229997
 87.7998 0.999686 -0.438802
 87.9998 0.891932 -0.629963
 88.1998 0.7481 -0.79575
 88.3998 0.573988 -0.929456
 88.5998 0.376617 -1.02566
 88.7998 0.163952 -1.08047
 88.9998 -0.0554217 -1.09166
 89.1998 -0.272644 -1.05874
 89.3998 -0.478939 -0.983034
 89.5998 -0.665967 -0.867586
 89.7998 -0.826165 -0.717041
 89.9998 -0.95305 -0.537467
 90.1998 -1.04148 -0.336108
 90.3998 -1.08787 -0.121089
 90.5998 -1.09033 0.0989075
 90.7998 -1.04875 0.314996
 90.9998 -0.964772 0.518445
 91.1998 -0.841787 0.701031
 91.3997 -0.684745 0.855368
 91.5997 -0.499977 0.97521
 91.7997 -0.294935 1.0557
 91.9997 -0.0778966 1.09357
 92.1997 0.142376 1.08728
 92.3997 0.356985 1.03706
 92.5997 0.557257 0.944923
 92.7997 0.735097 0.814573
 92.9997 0.883309 0.651262
 93.1997 0.995896 0.461575
 93.3997 1.06829 0.253164
 93.5997 1.09756 0.0344424
 93.7997 1.0825 -0.185758
 93.9997 1.0237 -0.398543
 94.1997 0.923513 -0.595311
 94.3997 0.78598 -0.768107
 94.5997 0.616639 -0.909941
 94.7997 0.422318 -1.01507
 94.9997 0.210858 -1.07923
 95.1997 -0.0092057 -1.09982
 95.3997 -0.228985 -1.07598
 95.5997 -0.439602 -1.00867
 95.7997 -0.632543 -0.900571
 95.9997 -0.800007 -0.756051
 96.1997 -0.935217 -0.580929
 96.3997 -1.0327 -0.382267
 96.5997 -1.0885 -0.168082
 96.7997 -1.10034 0.0529791
 96.9997 -1.06774 0.271988
 97.1997 -0.991989 0.480097
 97.3997 -0.87613 0.668893
 97.5997 -0.724829 0.830741
 97.7997 -0.544184 0.959092
 97.9996 -0.341482 1.04875
 98.1996 -0.124903 1.09607
 98.3996 0.0968089 1.09913
 98.5996 0.314698 1.05778
 98.7996 0.519961 0.973688
 98.9996 0.704299 0.850222
 99.1996 0.860258 0.692358
 99.3996 0.981524 0.506459
 99.5996 1.06319 0.300025
 99.7996 1.10193 0.0813874
 99.9996 1.09617 -0.140626
 100.2 1.04612 -0.357046
 100.4 0.953785 -0.559129
 100.6 0.822884 -0.738703
 100.8 0.658686 -0.888506
 101 0.467811 -1.00247
 101.2 0.25796 -1.07599
 101.4 0.0376036 -1.10606
 101.6 -0.18436 -1.09146
 101.8 -0.398964 -1.03276
 102 -0.597536 -0.932308
 102.2 -0.772047 -0.794155
 102.4 -0.915437 -0.623862
 102.6 -1.0219 -0.428298
 102.8 -1.08712 -0.215351
 103 -1.10845 0.00638014
 103.2 -1.08501 0.227943
 103.4 -1.01772 0.440385
 103.6 -0.909285 0.63512
 103.8 -0.764076 0.804275
 104 -0.587939 0.941005
 104.2 -0.387979 1.03977
 104.4 -0.172265 1.09657
 104.6 0.0504947 1.10909
 104.8 0.271304 1.07681
 105 0.48124 1.00102
 105.2 0.671819 0.884748
 105.4 0.835332 0.73269
 105.6 0.965164 0.550969
 105.8 1.05605 0.346917
 106 1.10432 0.128768
 106.2 1.10798 -0.0946706
 106.4 1.06689 -0.314374
 106.6 0.982677 -0.521464
 106.8 0.858731 -0.707571
 107 0.700042 -0.865165
 107.2 0.513008 -0.987871
 107.4 0.305174 -1.07071
 107.6 0.0849275 -1.11034
 107.799 -0.138838 -1.10511
 107.999 -0.357084 -1.05524
 108.199 -0.560991 -0.962722
 108.399 -0.742316 -0.83127
 108.599 -0.893724 -0.666181
 108.799 -1.00909 -0.474113
 108.999 -1.08373 -0.262813
 109.199 -1.11461 -0.0408119
 109.399 -1.10048 0.182927
 109.599 -1.04189 0.399366
 109.799 -0.941178 0.599756
 109.999 -0.802404 0.775997
 110.199 -0.631156 0.920958
 110.399 -0.434341 1.02877
 110.599 -0.219901 1.09506
 110.799 0.00350977 1.11714
 110.999 0.226868 1.0941
 111.199 0.44115 1.02684
 111.399 0.637695 0.918074
 111.599 0.808556 0.772174
 111.799 0.94682 0.595019
 111.999 1.04689 0.393755
 112.199 1.1047 0.176502
 112.399 1.11791 -0.0479678
 112.599 1.08596 -0.27059
 112.799 1.01012 -0.482369
 112.999 0.893442 -0.674745
 113.199 0.740624 -0.839939
 113.399 0.557824 -0.971265
 113.599 0.352414 -1.0634
 113.799 0.132685 -1.11262
 113.999 -0.0924923 -1.1169
 114.199 -0.314023 -1.07607
 114.399 -0.522956 -0.991741
 114.599 -0.710845 -0.867315
 114.799 -0.870091 -0.7078
